timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,n,dt,eps,bs,integrator,num_noise,num_boots,mlp_hidden,res_hidden,res_depth,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,0.8,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7271003723144531,0.004219873808324337,1.1231482028961182,0.006203038152307272,0.9976859092712402,0.0034716236405074596,-0.0023164439480751753,0.003519867779687047,0.29554319381713867,0.008530535735189915
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,0.08,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7208776473999023,0.003918656148016453,0.48267343640327454,0.003604122204706073,1.0044878721237183,0.002444623503834009,0.004373488016426563,0.0024199888575822115,0.46231013536453247,0.018554044887423515
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,0.25,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.720328450202942,0.0037586595863103867,0.4446246325969696,0.004757113289088011,1.007505178451538,0.004050020594149828,0.007394874468445778,0.004067103378474712,0.30556929111480713,0.1477605551481247
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,2.5,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.5609384775161743,0.17421524226665497,36.83195877075195,1.019189715385437,4.689390659332275,3.7970128059387207,1.1194766759872437,1.0152568817138672,0.0001352380495518446,0.00020814921299461275
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.125,2.5,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.9480687379837036,0.06863191723823547,10.75015926361084,0.38796713948249817,1.0478814840316772,0.42199647426605225,-0.01357426866889,0.3894113600254059,0.0004748904029838741,0.0006069699884392321
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.125,0.8,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7525651454925537,0.020071225240826607,2.404938220977783,0.024724090471863747,0.9561663866043091,0.022193733602762222,-0.045344624668359756,0.023674912750720978,0.009412208572030067,0.002443853300064802
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.125,0.25,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7331559658050537,0.01082657277584076,0.8940567970275879,0.008478840813040733,1.0105335712432861,0.007565312087535858,0.010574140585958958,0.007639729883521795,0.09523498266935349,0.040733348578214645
20260621_200750,0.005,0.0025,1,unbiasv2,mlpgmm,2,0.125,0.08,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7174072265625,0.003792891977354884,0.42072856426239014,0.003301742486655712,0.9984011650085449,0.002275007776916027,-0.00164368050172925,0.002248255768790841,0.493964821100235,0.016678091138601303
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,0.0008,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-2.19514799118042,0.5806883573532104,14.913891792297363,0.4505923390388489,1.1892080307006836,0.5563976168632507,0.09316518902778625,0.45097610354423523,0.0007123908144421875,0.0011129946215078235
20260621_200751,0.005,2.5,1,unbiasv2,mlpgmm,2,0.125,0.025,200000,unbiasv2,1,5000,"[256, 256]","[256, 256]",1,-1.7322723865509033,0.016983598470687866,0.7893344163894653,0.007309399079531431,1.004298210144043,0.006423231679946184,0.004155502188950777,0.0063175177201628685,0.13052517175674438,0.0562448687851429
