timestamp_eval,dt_eval,eps_eval,num_noise_eval,integrator_eval,network,L,m2,lambda,dt,eps,bs,integrator,num_noise,n_kernel,n_kernel_bond,n_basis,n_basis_bond,num_boots,logp_avg,logp_err,loss_avg,loss_err,part_avg,part_err,free_avg,free_err,ess_avg,ess_err,susc_avg,susc_err
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,fp,1,21,20,20,20,5000,-6.885156631469727,0.4444868564605713,-8.911202430725098,0.008549382910132408,5194980.5,1360373.25,15.437518119812012,0.2497478425502777,0.00013855528959538788,0.000132476314320229,0.9341912865638733,0.16738668084144592
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,fp,1,21,20,20,20,5000,-6.506115436553955,0.32693231105804443,-11.435336112976074,0.007238535676151514,8029012.5,631218.6875,15.893403053283691,0.07742416858673096,0.0010514481691643596,0.0005291286506690085,1.8886710405349731,0.11230048537254333
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.1,0.0,200000,fp,1,21,20,20,20,5000,-6.414505481719971,0.10103381425142288,-13.348865509033203,0.005837181583046913,8602509.0,296592.40625,15.967374801635742,0.03452368825674057,0.004878942854702473,0.0018268090207129717,1.9688007831573486,0.07034971565008163
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.05,0.0,200000,fp,1,21,20,20,20,5000,-6.317891597747803,0.05087359994649887,-14.592387199401855,0.0046136039309203625,8898108.0,84560.4765625,16.00131607055664,0.009435548447072506,0.05409335717558861,0.005891419947147369,1.921586513519287,0.024763846769928932
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.02,0.0,200000,fp,1,21,20,20,20,5000,-6.316915988922119,0.023593725636601448,-15.339753150939941,0.0037104743532836437,8817121.0,31349.943359375,15.992313385009766,0.003557778662070632,0.2816492021083832,0.0053396825678646564,1.8965471982955933,0.009777680039405823
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.01,0.0,200000,fp,1,21,20,20,20,5000,-6.3279242515563965,0.017373286187648773,-15.599419593811035,0.003597752656787634,8778820.0,20224.330078125,15.987863540649414,0.0022811738308519125,0.49467000365257263,0.003012415487319231,1.9025543928146362,0.007562785409390926
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.05,0.025,200000,unbiasv2,1,21,20,20,20,5000,-6.764320373535156,0.8737940788269043,-9.3294677734375,0.009258409030735493,8707286.0,1968696.875,15.953598022460938,0.2229861170053482,0.00041430105920881033,0.0004609916068147868,1.8577784299850464,0.35272419452667236
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.125,0.0625,200000,unbiasv2,1,21,20,20,20,5000,-4.19954776763916,2.7578392028808594,4.3338446617126465,0.017597973346710205,1949386.125,1198759.75,14.26226806640625,0.6797752380371094,3.073643529205583e-05,3.342908894410357e-05,0.6227729916572571,0.2082044929265976
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.025,0.0125,200000,unbiasv2,1,21,20,20,20,5000,-6.363992214202881,0.2231346070766449,-12.80165958404541,0.006664216984063387,9158048.0,383695.5,16.029308319091797,0.041837722063064575,0.004035275895148516,0.002230757148936391,1.9910675287246704,0.07122298330068588
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.0125,0.00625,200000,unbiasv2,1,21,20,20,20,5000,-6.313714504241943,0.06353850662708282,-14.376818656921387,0.0046008275821805,8857977.0,88589.453125,15.99670696258545,0.009986534714698792,0.0488521009683609,0.0054044658318161964,1.8961830139160156,0.02767304517328739
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.005,0.0,200000,fp,1,21,20,20,20,5000,-6.321804523468018,0.015289926901459694,-15.72008228302002,0.003992724698036909,8769551.0,14578.98046875,15.986737251281738,0.0016340966103598475,0.6470045447349548,0.0016998359933495522,1.8992376327514648,0.006729699671268463
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.005,0.0025,200000,unbiasv2,1,21,20,20,20,5000,-6.3385419845581055,0.02354881353676319,-15.269619941711426,0.004411032889038324,8773103.0,32750.802734375,15.987236976623535,0.0037432333920150995,0.2584691345691681,0.008295045234262943,1.8779985904693604,0.010620573535561562
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.0025,0.00125,200000,unbiasv2,1,21,20,20,20,5000,-6.326951503753662,0.018981855362653732,-15.571681022644043,0.003385306103155017,8832337.0,21603.640625,15.993977546691895,0.0024672169238328934,0.4580228924751282,0.004105755593627691,1.9035427570343018,0.008503331802785397
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.002,0.0,200000,fp,1,21,20,20,20,5000,-6.322866916656494,0.014517138712108135,-15.80129623413086,0.0034579455386847258,8763765.0,11095.771484375,15.986186981201172,0.0012619121698662639,0.7582252025604248,0.0010927837574854493,1.8924567699432373,0.00600862642750144
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.00125,0.000625,200000,unbiasv2,1,21,20,20,20,5000,-6.291109085083008,0.015947217121720314,-15.70328426361084,0.004765835590660572,8772185.0,15452.6982421875,15.987055778503418,0.0017475031781941652,0.6195964813232422,0.0021503004245460033,1.9139286279678345,0.006993321236222982
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.0005,0.00025,200000,unbiasv2,1,21,20,20,20,5000,-6.323504447937012,0.01416992861777544,-15.807071685791016,0.002955136587843299,8796905.0,11476.7939453125,15.989921569824219,0.0013078529154881835,0.7477099895477295,0.0011384678073227406,1.893154263496399,0.006172070279717445
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,fp,1,21,20,20,20,5000,10.137155532836914,2.7324020862579346,-18.33191680908203,0.011181260459125042,62217332457472.0,33879188570112.0,31.58469581604004,0.6580331921577454,2.2663331037620082e-05,1.1008005458279513e-05,6.632312297821045,2.5659046173095703
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,fp,1,21,20,20,20,5000,-6.742347717285156,0.21936999261379242,-11.705582618713379,0.007801039610058069,7197562.5,444588.03125,15.789393424987793,0.06417275220155716,0.0014139071572571993,0.0004695460374932736,1.5705480575561523,0.07759064435958862
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.1,0.0,200000,fp,1,21,20,20,20,5000,-5.970780849456787,0.33954039216041565,-13.550992965698242,0.0065080467611551285,8912804.0,777357.5,16.000160217285156,0.0868605375289917,0.0029419756028801203,0.0034079328179359436,1.7727171182632446,0.08186952024698257
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.05,0.0,200000,fp,1,21,20,20,20,5000,-6.3557538986206055,0.0449611097574234,-14.69881820678711,0.00480860797688365,8808436.0,109626.2109375,15.991138458251953,0.012498978525400162,0.03540314361453056,0.015423854812979698,1.9787620306015015,0.0554184652864933
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.02,0.0,200000,fp,1,21,20,20,20,5000,-6.358331680297852,0.02245090901851654,-15.340926170349121,0.005456293933093548,8765234.0,31010.8359375,15.986260414123535,0.0034569485578686,0.290639728307724,0.005573852453380823,1.8819257020950317,0.010926477611064911
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.01,0.0,200000,fp,1,21,20,20,20,5000,-6.327604293823242,0.018762120977044106,-15.569757461547852,0.004261184949427843,8792458.0,21152.25390625,15.98943042755127,0.002381912898272276,0.464774489402771,0.004081108141690493,1.9012986421585083,0.008187998086214066
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.00025,0.000125,200000,unbiasv2,1,21,20,20,20,5000,-6.312772274017334,0.013911834917962551,-15.818648338317871,0.004367002286016941,8766007.0,10009.134765625,15.986401557922363,0.0011279188329353929,0.7939585447311401,0.0010925376554951072,1.8980448246002197,0.006005810108035803
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.005,0.0,200000,fp,1,21,20,20,20,5000,-6.3380656242370605,0.01629190519452095,-15.68498706817627,0.0035612473729997873,8767671.0,16207.0400390625,15.986546516418457,0.0019146616104990244,0.5847963094711304,0.003814054187387228,1.899703860282898,0.00768650509417057
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.001,0.0,200000,fp,1,21,20,20,20,5000,-6.283599853515625,0.014001887291669846,-15.831305503845215,0.0030666824895888567,8765440.0,9899.9814453125,15.986357688903809,0.0011285686632618308,0.7997017502784729,0.0009287194116041064,1.9001728296279907,0.0059979562647640705
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.002,0.0,200000,fp,1,21,20,20,20,5000,-6.344229221343994,0.015081511810421944,-15.745580673217773,0.005788056179881096,8772604.0,13617.46875,15.987129211425781,0.0015612745191901922,0.675410807132721,0.001947801443748176,1.8875983953475952,0.006811921950429678
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,fp,1,21,20,20,20,5000,6.590097427368164,2.678191900253296,1431.2711181640625,1.8465949296951294,5518681088.0,5475646464.0,18.588958740234375,5.523890972137451,9.802524800761603e-06,5.54006783204386e-06,0.013820084743201733,0.03231623396277428
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,fp,1,21,20,20,20,5000,7.122772693634033,2.5888633728027344,-52.60951232910156,0.06430606544017792,inf,nan,89.5292739868164,0.9802343249320984,1.4313472092908341e-05,5.9173394220124464e-06,0.4238117039203644,0.26619428396224976
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.1,0.0,200000,fp,1,21,20,20,20,5000,-7.363288879394531,1.9165925979614258,-0.11542396247386932,0.012230574153363705,211607.5,105931.3046875,12.14041805267334,0.5233123302459717,4.324225665186532e-05,3.8462756492663175e-05,1.177866816520691,0.5934687256813049
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,200000,fp,1,21,20,20,20,5000,-6.311741352081299,0.5574790239334106,-2.054591417312622,0.010479578748345375,120082.65625,16755.91796875,11.693174362182617,0.13789059221744537,0.0002830771845765412,6.394200318027288e-05,1.7914462089538574,0.23641051352024078
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,200000,fp,1,21,20,20,20,5000,-5.827880859375,0.7001726627349854,-10.395496368408203,0.007645785808563232,8979480.0,1560168.125,15.996138572692871,0.16966310143470764,0.00039489235496148467,0.00034785698517225683,2.1747725009918213,0.44829505681991577
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,200000,fp,1,21,20,20,20,5000,-6.364080905914307,0.12121503800153732,-13.025928497314453,0.0061386884190142155,8877500.0,372571.78125,15.998686790466309,0.04192639887332916,0.0037825442850589752,0.0020817299373447895,1.9218937158584595,0.07659696787595749
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,200000,fp,1,21,20,20,20,5000,-6.349780082702637,0.05388301610946655,-14.446660995483398,0.004364467691630125,8707608.0,85587.09375,15.979818344116211,0.009899076074361801,0.051689427345991135,0.008767014369368553,1.872380018234253,0.02059296891093254
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,200000,fp,1,21,20,20,20,5000,-6.3262834548950195,0.02382523939013481,-15.314796447753906,0.0027096052654087543,8719224.0,32509.767578125,15.981093406677246,0.003711472963914275,0.26485803723335266,0.008039371110498905,1.9010114669799805,0.01043456420302391
20260610_151017,0.005,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.001,0.0,200000,fp,1,21,20,20,20,5000,-6.325472831726074,0.015163335017859936,-15.770724296569824,0.003388078883290291,8752682.0,12657.6513671875,15.984880447387695,0.0014353649457916617,0.7051528096199036,0.001825943123549223,1.8874690532684326,0.006660951301455498
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,200000,fp,1,21,20,20,20,5000,-6.323972702026367,0.01808713562786579,-15.602968215942383,0.002959822304546833,8740775.0,20670.447265625,15.98352336883545,0.002359280362725258,0.4765235185623169,0.0031661319080740213,1.8979095220565796,0.007771605160087347
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,hutch,1,21,20,20,20,5000,10.018266677856445,3.634910821914673,1471.6162109375,1.7987233400344849,7.916614412628586e-12,7.970251195144051e-12,-28.840349197387695,5.050102233886719,8.199959665944334e-06,4.153909230808495e-06,0.12903177738189697,0.2601930797100067
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,hutch,1,21,20,20,20,5000,5.6364641189575195,1.5328115224838257,-32.8903694152832,0.06382330507040024,inf,nan,91.4721450805664,4.573094844818115,1.0063716217700858e-05,5.568929736909922e-06,0.35208985209465027,0.6267035603523254
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.1,0.0,200000,hutch,1,21,20,20,20,5000,-6.072149753570557,2.623626708984375,-14.998068809509277,0.01923140324652195,1.3006324908425216e+17,5.514048665812992e+16,39.317325592041016,0.4602908790111542,3.135405495413579e-05,1.0077797014673706e-05,0.987324595451355,0.3904719948768616
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.05,0.0,200000,hutch,1,21,20,20,20,5000,-5.583003997802734,1.5859622955322266,-14.722384452819824,0.012849762104451656,3147757256704.0,1643320836096.0,28.625829696655273,0.5498351454734802,3.856642433675006e-05,3.818149343715049e-05,1.005021333694458,0.3968135118484497
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.02,0.0,200000,hutch,1,21,20,20,20,5000,-6.717325687408447,0.32114818692207336,-15.884732246398926,0.008061936125159264,4118127872.0,986030336.0,22.113245010375977,0.22532732784748077,0.0003524645580910146,0.00037903370684944093,2.610173463821411,0.30932044982910156
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.01,0.0,200000,hutch,1,21,20,20,20,5000,-6.316819190979004,0.18353356420993805,-15.902277946472168,0.005783425644040108,183294480.0,7788937.0,19.025896072387695,0.04173512011766434,0.0034400492440909147,0.0018827816238626838,2.038220167160034,0.1203346773982048
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.005,0.0,200000,hutch,1,21,20,20,20,5000,-6.348052978515625,0.0733661949634552,-15.896100044250488,0.004246645141392946,41181280.0,469022.28125,17.533628463745117,0.011426909826695919,0.038393065333366394,0.005988077726215124,2.010425329208374,0.035346128046512604
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.002,0.0,200000,hutch,1,21,20,20,20,5000,-6.3672285079956055,0.02405397966504097,-15.899630546569824,0.003137742867693305,16382192.0,63822.7109375,16.611692428588867,0.003950126003473997,0.24247518181800842,0.006560203619301319,1.9218827486038208,0.011697635054588318
20260610_151018,0.01,0.0,1,hutch,phi4analytic,8,-4.0,6.008,0.001,0.0,200000,hutch,1,21,20,20,20,5000,-6.350756645202637,0.018356913700699806,-15.898249626159668,0.0026793722063302994,11971127.0,28999.751953125,16.298051834106445,0.002468676306307316,0.45908015966415405,0.003177936654537916,1.9055510759353638,0.008387262001633644
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,hutch,1,21,20,20,20,5000,1.6366366147994995,5.284542083740234,-19.825515747070312,0.01650513894855976,4.652129560790303e+17,inf,40.379913330078125,0.927367627620697,1.673692349868361e-05,1.1489788448670879e-05,2.4906539916992188,1.803971290588379
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,hutch,1,21,20,20,20,5000,-6.048139572143555,0.3216512203216553,-15.763640403747559,0.011133996769785881,10768224256.0,1369878272.0,23.093576431274414,0.11812009662389755,0.0006145156803540885,0.0004578781081363559,2.0603549480438232,0.191575825214386
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.1,0.0,200000,hutch,1,21,20,20,20,5000,-6.278655529022217,0.24991782009601593,-15.77527141571045,0.008197056129574776,561840192.0,46309784.0,20.141904830932617,0.08196043968200684,0.0011034493800252676,0.0007059042109176517,2.2120327949523926,0.1265828013420105
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.05,0.0,200000,hutch,1,21,20,20,20,5000,-6.362660884857178,0.169599249958992,-15.78468132019043,0.006374020129442215,68164520.0,1687424.25,18.037870407104492,0.02465607225894928,0.011861762963235378,0.007032923400402069,2.015373468399048,0.06197090446949005
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.02,0.0,200000,hutch,1,21,20,20,20,5000,-6.31079626083374,0.03151281177997589,-15.798768043518066,0.00508833909407258,20144812.0,108653.171875,16.8186092376709,0.005240213125944138,0.15091301500797272,0.004611758980900049,1.9637292623519897,0.015170600265264511
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.01,0.0,200000,hutch,1,21,20,20,20,5000,-6.29468297958374,0.022010326385498047,-15.785713195800781,0.005364684388041496,13249588.0,43300.12109375,16.399539947509766,0.0032984118442982435,0.32057181000709534,0.00454128859564662,1.940267562866211,0.010328763164579868
20260610_151017,0.01,0.0,1,fp,phi4analytic,8,-4.0,6.008,0.005,0.0,200000,hutch,1,21,20,20,20,5000,-6.3147478103637695,0.018275348469614983,-15.805168151855469,0.003303145756945014,10840889.0,25323.853515625,16.19879722595215,0.00240049185231328,0.47814300656318665,0.004151191562414169,1.9347790479660034,0.008479437790811062
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.5,0.0,200000,hutch,1,21,20,20,20,5000,-7.697624683380127,0.8656960725784302,-15.356341361999512,0.012962809763848782,847759081472.0,178932498432.0,27.446048736572266,0.21380549669265747,0.00012198961485410109,2.7989473892375827e-05,1.9257128238677979,0.2716754972934723
20260610_151002,0.0025,0.00125,1,unbiasv2,phi4analytic,8,-4.0,6.008,0.2,0.0,200000,hutch,1,21,20,20,20,5000,-4.5424017906188965,0.7434304356575012,-15.8768949508667,0.009019356220960617,3629113856.0,528822208.0,21.999588012695312,0.14013034105300903,0.0003628902486525476,0.00021380344696808606,2.4477288722991943,0.22059690952301025
